43,"BACH, Carl Philipp Emanuel","Sonata in B minor for Harpsichord and Violin, Wq.76",H.512,Ch,Signum Classics SIGC573,"Tasmin Waley-Cohen, Violin; James Baillieu, Harpsichord. Also Brilliant Classics 949024: Roberto Loreggian, Harpsichord; Federico Gugliemo, Violin"
44,"BACH, Carl Philipp Emanuel",Sonata in C for Harpsichord and Violin; Wq. 73,H. 504,Ch,Signum Classics SIGC573,"Tasmin Waley-Cohen, Violin; James Baillieu, Harpsichord. Also Brilliant Classics 949024: Roberto Loreggian, Harpsichord; Federico Gugliemo, Violin"
45,"BACH, Carl Philipp Emanuel","Sonata in C minor for Harpsichord and Violin, Wq.78",H.514,Ch,Signum Classics SIGC573,"Tasmin Waley-Cohen, Violin; James Baillieu, Harpsichord. Also BBC Vol. 23/2: Kristian Bezuidenhout, Harpsichord; Rachel Podger, Violin. Also Cass. 003-B: Huguette Dreyfus, Harpsichord; Eduard Melkus, Violin"
46,"BACH, Carl Philipp Emanuel",Sonata in D for Harpsichord and Violin; Wq. 71,H. 502,Ch,Signum Classics SIGC573,"Tasmin Waley-Cohen, Violin; James Baillieu, Harpsichord. Also Brilliant Classics 949024: Roberto Loreggian, Harpsichord; Federico Gugliemo, Violin"
47,"BACH, Carl Philipp Emanuel",Sonata in D for Harpsichord and Violin; Wq. 72,H. 503,Ch,Signum Classics SIGC573,"Tasmin Waley-Cohen, Violin; James Baillieu, Harpsichord. Also Brilliant Classics 949024: Roberto Loreggian, Harpsichord; Federico Gugliemo, Violin"
48,"BACH, Carl Philipp Emanuel",Sonata in D for Harpsichord and Violin; Wq. 74,H. 507,Ch,Signum Classics SIGC573,"Tasmin Waley-Cohen, Violin; James Baillieu, Harpsichord. Also Brilliant Classics 949024: Roberto Loreggian, Harpsichord; Federico Gugliemo, Violin"
49,"BACH, Carl Philipp Emanuel",Sonata in F for Harpsichord and Violin; Wq. 75,H. 508,Ch,Signum Classics SIGC573,"Tasmin Waley-Cohen, Violin; James Baillieu, Harpsichord"
50,"BACH, Carl Philipp Emanuel",Sonata in G minor for Harpsichord and Violin (Previously attributed to J.S. Bach BWV 1020),H. 542.5,Ch,Brillinat classics 949024,"Roberto Loreggian, Harpsichord; Federico Gugliemo, Violin"
51,"BACH, Carl Philipp Emanuel","Trio Sonata for 2 Violins and Continuo in C minor ""Sanguines and Melancholicus""",H. 570,Ch,BBC Vol. 23/02,"Rachel Podger, Bojan Cicic, Violins; Tomasz Pokrzywinski, Cello"
52,"BACH, Carl Philipp Emanuel","Trio Sonata for Flute, Violin and Continuo in A",H. 570,Ch,BBC Vol. 23/02,"Katy Bircher, Flute; Rachel Podger, Violin; Tomasz Pokrzywinski, Cello"
53,"BACH, Johann-Christian","Quartet for Two Flutes, Viola and Cello",Op.  19,Ch,070-A,"Serafin Camillo, Nello Nervi, Flutes; Giacomo Santini, Viola; Renato Como, Cello; Spoleto Chamber Orchestra, Alessandro Scarone"
54,"BACH, Johann-Christian","Quintet for Flute, Oboe, Violin, Viola and Continuo in F",Op. 11/3,Ch,107-A,Les Adieux
55,"BACH, Johann-Sebastian","Die Kunst der Fuge ""The Art of Fugue""",BWV1080,Ch,ECM 457-849,"Keller Quartet: Andras Keller, Janos Pilz, Violins; Zoltan Gal, Viola; Otto Kertesz, Cello"
56,"BACH, Johann-Sebastian",Musical Offering for Chamber Ensemble,BWV1079,Ch,Capriccio 10 032,"Leipziger Bach-Collegium. Also Cass. 96a: Munchner Instrumental Ensemble: Enders, Lautenbacher, Rottenfusser, Violins; Ruf, Alto; Schmidt, Cello; Zoller, Flute; Weber, English Horn; Galling, Harpsichord"
57,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in A major,BWV1032,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello. Also Columbia YT 34630: Jean-Piere Rampal, Flute; Robert Veyron-Lacroix, Harpsichord"
58,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in A minor,BWV1013,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello "
59,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in B minor,BWV1030,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello. Also Columbia YT 34630: Jean-Piere Rampal, Flute; Robert Veyron-Lacroix, Harpsichord"
